city,analysis_type,feature_group,feature,generated_feature,parameter_weeks,n_pairs,pearson_corr,abs_pearson_corr
iq,rolling,ndvi,ndvi_ne,ndvi_ne_rolling_4_mean,4,520,-0.011120795899277235,0.011120795899277235
iq,rolling,ndvi,ndvi_ne,ndvi_ne_rolling_5_mean,5,520,0.02139971559428868,0.02139971559428868
iq,rolling,ndvi,ndvi_ne,ndvi_ne_rolling_6_mean,6,520,0.042930919516673716,0.042930919516673716
iq,rolling,ndvi,ndvi_ne,ndvi_ne_rolling_7_mean,7,520,0.053014969758659714,0.053014969758659714
iq,rolling,ndvi,ndvi_ne,ndvi_ne_rolling_8_mean,8,520,0.06548236699954374,0.06548236699954374
iq,rolling,ndvi,ndvi_ne,ndvi_ne_rolling_9_mean,9,520,0.0830133733252018,0.0830133733252018
iq,rolling,ndvi,ndvi_ne,ndvi_ne_rolling_10_mean,10,520,0.09582694365942683,0.09582694365942683
iq,rolling,ndvi,ndvi_ne,ndvi_ne_rolling_11_mean,11,520,0.10888108790369527,0.10888108790369527
iq,rolling,ndvi,ndvi_ne,ndvi_ne_rolling_12_mean,12,520,0.13154786156419174,0.13154786156419174
iq,rolling,ndvi,ndvi_ne,ndvi_ne_rolling_13_mean,13,520,0.14070332735528315,0.14070332735528315
iq,rolling,ndvi,ndvi_ne,ndvi_ne_rolling_14_mean,14,520,0.1461947749384213,0.1461947749384213
iq,lag,ndvi,ndvi_nw,ndvi_nw,0,520,-0.009951604647600042,0.009951604647600042
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_1,1,519,-0.04154506177707793,0.04154506177707793
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_2,2,518,-0.041887841002410414,0.041887841002410414
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_3,3,517,-0.005401447476974934,0.005401447476974934
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_4,4,516,0.07353562154659479,0.07353562154659479
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_5,5,515,0.07358246323814688,0.07358246323814688
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_6,6,514,0.06625482487857448,0.06625482487857448
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_7,7,513,0.05476764435976622,0.05476764435976622
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_8,8,512,0.0894780980304253,0.0894780980304253
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_9,9,511,0.07292870570231483,0.07292870570231483
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_10,10,510,0.11282822580879515,0.11282822580879515
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_11,11,509,0.14228309912255654,0.14228309912255654
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_12,12,508,0.08948946079702838,0.08948946079702838
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_13,13,507,0.10336696321798979,0.10336696321798979
iq,lag,ndvi,ndvi_nw,ndvi_nw_lag_14,14,506,0.1176997682279979,0.1176997682279979
iq,rolling,ndvi,ndvi_nw,ndvi_nw,1,520,-0.009951604647600042,0.009951604647600042
iq,rolling,ndvi,ndvi_nw,ndvi_nw_rolling_2_mean,2,520,-0.033059102213160184,0.033059102213160184
iq,rolling,ndvi,ndvi_nw,ndvi_nw_rolling_3_mean,3,520,-0.0467969691358213,0.0467969691358213
iq,rolling,ndvi,ndvi_nw,ndvi_nw_rolling_4_mean,4,520,-0.03995681562960509,0.03995681562960509
iq,rolling,ndvi,ndvi_nw,ndvi_nw_rolling_5_mean,5,520,-0.005135880236234612,0.005135880236234612
iq,rolling,ndvi,ndvi_nw,ndvi_nw_rolling_6_mean,6,520,0.021697951605283913,0.021697951605283913
iq,rolling,ndvi,ndvi_nw,ndvi_nw_rolling_7_mean,7,520,0.041231919012549204,0.041231919012549204
iq,rolling,ndvi,ndvi_nw,ndvi_nw_rolling_8_mean,8,520,0.05423664081107103,0.05423664081107103
iq,rolling,ndvi,ndvi_nw,ndvi_nw_rolling_9_mean,9,520,0.0744102013202787,0.0744102013202787
iq,rolling,ndvi,ndvi_nw,ndvi_nw_rolling_10_mean,10,520,0.08821014280675063,0.08821014280675063
iq,rolling,ndvi,ndvi_nw,ndvi_nw_rolling_11_mean,11,520,0.10930760565881621,0.10930760565881621
iq,rolling,ndvi,ndvi_nw,ndvi_nw_rolling_12_mean,12,520,0.13453389830204662,0.13453389830204662
iq,rolling,ndvi,ndvi_nw,ndvi_nw_rolling_13_mean,13,520,0.1469472641018152,0.1469472641018152
iq,rolling,ndvi,ndvi_nw,ndvi_nw_rolling_14_mean,14,520,0.16104470314736502,0.16104470314736502
iq,lag,ndvi,ndvi_se,ndvi_se,0,520,-0.040642556814237715,0.040642556814237715
iq,lag,ndvi,ndvi_se,ndvi_se_lag_1,1,519,-0.08201306395352972,0.08201306395352972
iq,lag,ndvi,ndvi_se,ndvi_se_lag_2,2,518,-0.07224714564964956,0.07224714564964956
iq,lag,ndvi,ndvi_se,ndvi_se_lag_3,3,517,-0.05642829317319049,0.05642829317319049
iq,lag,ndvi,ndvi_se,ndvi_se_lag_4,4,516,0.004072826225155578,0.004072826225155578
iq,lag,ndvi,ndvi_se,ndvi_se_lag_5,5,515,0.011007727294411332,0.011007727294411332
iq,lag,ndvi,ndvi_se,ndvi_se_lag_6,6,514,0.019020706142584234,0.019020706142584234
iq,lag,ndvi,ndvi_se,ndvi_se_lag_7,7,513,0.05962497692481965,0.05962497692481965
iq,lag,ndvi,ndvi_se,ndvi_se_lag_8,8,512,0.06840803485535626,0.06840803485535626
iq,lag,ndvi,ndvi_se,ndvi_se_lag_9,9,511,0.05309919623500236,0.05309919623500236
iq,lag,ndvi,ndvi_se,ndvi_se_lag_10,10,510,0.028954155220069566,0.028954155220069566
iq,lag,ndvi,ndvi_se,ndvi_se_lag_11,11,509,0.04886495244468532,0.04886495244468532
iq,lag,ndvi,ndvi_se,ndvi_se_lag_12,12,508,0.03756625938978584,0.03756625938978584
iq,lag,ndvi,ndvi_se,ndvi_se_lag_13,13,507,0.05083819387059117,0.05083819387059117
iq,lag,ndvi,ndvi_se,ndvi_se_lag_14,14,506,0.09332657566531016,0.09332657566531016
iq,rolling,ndvi,ndvi_se,ndvi_se,1,520,-0.040642556814237715,0.040642556814237715
iq,rolling,ndvi,ndvi_se,ndvi_se_rolling_2_mean,2,520,-0.08004753190268898,0.08004753190268898
iq,rolling,ndvi,ndvi_se,ndvi_se_rolling_3_mean,3,520,-0.09995617174051392,0.09995617174051392
iq,rolling,ndvi,ndvi_se,ndvi_se_rolling_4_mean,4,520,-0.10682159648149675,0.10682159648149675
iq,rolling,ndvi,ndvi_se,ndvi_se_rolling_5_mean,5,520,-0.09068465917864584,0.09068465917864584
iq,rolling,ndvi,ndvi_se,ndvi_se_rolling_6_mean,6,520,-0.07727937639737606,0.07727937639737606
iq,rolling,ndvi,ndvi_se,ndvi_se_rolling_7_mean,7,520,-0.06491699035674381,0.06491699035674381
iq,rolling,ndvi,ndvi_se,ndvi_se_rolling_8_mean,8,520,-0.04505035317499976,0.04505035317499976
iq,rolling,ndvi,ndvi_se,ndvi_se_rolling_9_mean,9,520,-0.02702854362303575,0.02702854362303575
iq,rolling,ndvi,ndvi_se,ndvi_se_rolling_10_mean,10,520,-0.015292046157011088,0.015292046157011088
iq,rolling,ndvi,ndvi_se,ndvi_se_rolling_11_mean,11,520,-0.010055601331145074,0.010055601331145074
iq,rolling,ndvi,ndvi_se,ndvi_se_rolling_12_mean,12,520,-0.0020049188578086514,0.0020049188578086514
iq,rolling,ndvi,ndvi_se,ndvi_se_rolling_13_mean,13,520,0.002995921496541205,0.002995921496541205
iq,rolling,ndvi,ndvi_se,ndvi_se_rolling_14_mean,14,520,0.009433706676802591,0.009433706676802591
iq,lag,ndvi,ndvi_sw,ndvi_sw,0,520,0.03281197199304055,0.03281197199304055
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_1,1,519,-0.017278741795030653,0.017278741795030653
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_2,2,518,-0.017795238274969625,0.017795238274969625
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_3,3,517,-0.011953031880480424,0.011953031880480424
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_4,4,516,0.07459351576850322,0.07459351576850322
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_5,5,515,0.061451442369444643,0.061451442369444643
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_6,6,514,0.04528696149015322,0.04528696149015322
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_7,7,513,0.05380052739980338,0.05380052739980338
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_8,8,512,0.09200628502616441,0.09200628502616441
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_9,9,511,0.09295089133972734,0.09295089133972734
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_10,10,510,0.10262081063965438,0.10262081063965438
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_11,11,509,0.15533944528750926,0.15533944528750926
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_12,12,508,0.11340863948325777,0.11340863948325777
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_13,13,507,0.07730726373415348,0.07730726373415348
iq,lag,ndvi,ndvi_sw,ndvi_sw_lag_14,14,506,0.10621733126396084,0.10621733126396084
iq,rolling,ndvi,ndvi_sw,ndvi_sw,1,520,0.03281197199304055,0.03281197199304055
iq,rolling,ndvi,ndvi_sw,ndvi_sw_rolling_2_mean,2,520,0.010407547524601797,0.010407547524601797
iq,rolling,ndvi,ndvi_sw,ndvi_sw_rolling_3_mean,3,520,-0.0006595014016354848,0.0006595014016354848
iq,rolling,ndvi,ndvi_sw,ndvi_sw_rolling_4_mean,4,520,-0.005053693675649298,0.005053693675649298
iq,rolling,ndvi,ndvi_sw,ndvi_sw_rolling_5_mean,5,520,0.024478627329314512,0.024478627329314512
iq,rolling,ndvi,ndvi_sw,ndvi_sw_rolling_6_mean,6,520,0.04305515566035665,0.04305515566035665
iq,rolling,ndvi,ndvi_sw,ndvi_sw_rolling_7_mean,7,520,0.05332298126011265,0.05332298126011265
iq,rolling,ndvi,ndvi_sw,ndvi_sw_rolling_8_mean,8,520,0.06375925343402425,0.06375925343402425
iq,rolling,ndvi,ndvi_sw,ndvi_sw_rolling_9_mean,9,520,0.08221359331350192,0.08221359331350192
iq,rolling,ndvi,ndvi_sw,ndvi_sw_rolling_10_mean,10,520,0.09865168455966082,0.09865168455966082
iq,rolling,ndvi,ndvi_sw,ndvi_sw_rolling_11_mean,11,520,0.11522610030858155,0.11522610030858155
iq,rolling,ndvi,ndvi_sw,ndvi_sw_rolling_12_mean,12,520,0.1405172664674259,0.1405172664674259
iq,rolling,ndvi,ndvi_sw,ndvi_sw_rolling_13_mean,13,520,0.15534573918698116,0.15534573918698116
iq,rolling,ndvi,ndvi_sw,ndvi_sw_rolling_14_mean,14,520,0.16243491656597747,0.16243491656597747
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm,0,520,0.09062770970838817,0.09062770970838817
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_1,1,519,0.0564342660099281,0.0564342660099281
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_2,2,518,0.08981871444631558,0.08981871444631558
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_3,3,517,0.12325231993260492,0.12325231993260492
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_4,4,516,0.0657988595793623,0.0657988595793623
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_5,5,515,0.08828279253448924,0.08828279253448924
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_6,6,514,0.07109525521462007,0.07109525521462007
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_7,7,513,0.00037736529756486365,0.00037736529756486365
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_8,8,512,-0.014114149715980892,0.014114149715980892
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_9,9,511,-0.021040427145190777,0.021040427145190777
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_10,10,510,-0.043080438883450825,0.043080438883450825
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_11,11,509,-0.05778412134497034,0.05778412134497034
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_12,12,508,-0.08592130616171381,0.08592130616171381
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_13,13,507,-0.08537981318099523,0.08537981318099523
iq,lag,precipitation,precipitation_amt_mm,precipitation_amt_mm_lag_14,14,506,-0.0724667437784993,0.0724667437784993
iq,rolling,precipitation,precipitation_amt_mm,precipitation_amt_mm,1,520,0.09062770970838817,0.09062770970838817
iq,rolling,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_2_mean,2,520,0.09515571383911056,0.09515571383911056
iq,rolling,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_3_mean,3,520,0.11708810755579305,0.11708810755579305
iq,rolling,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_4_mean,4,520,0.14606526470392403,0.14606526470392403
iq,rolling,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_5_mean,5,520,0.14842048591755785,0.14842048591755785
iq,rolling,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_6_mean,6,520,0.15794083774757237,0.15794083774757237
iq,rolling,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_7_mean,7,520,0.16137445854170065,0.16137445854170065
iq,rolling,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_8_mean,8,520,0.1481228265122331,0.1481228265122331
iq,rolling,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_9_mean,9,520,0.13501354219973066,0.13501354219973066
iq,rolling,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_10_mean,10,520,0.12327931868273405,0.12327931868273405
iq,rolling,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_11_mean,11,520,0.10925059739301186,0.10925059739301186
iq,rolling,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_12_mean,12,520,0.0945649978769526,0.0945649978769526
iq,rolling,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_13_mean,13,520,0.07668587205278755,0.07668587205278755
iq,rolling,precipitation,precipitation_amt_mm,precipitation_amt_mm_rolling_14_mean,14,520,0.060891318211647665,0.060891318211647665
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k,0,520,0.09632697466296965,0.09632697466296965
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_1,1,519,0.10017335331406747,0.10017335331406747
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_2,2,518,0.10242273368314116,0.10242273368314116
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_3,3,517,0.11892579774007331,0.11892579774007331
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_4,4,516,0.1293187575296846,0.1293187575296846
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_5,5,515,0.1474795218792166,0.1474795218792166
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_6,6,514,0.14800968515690943,0.14800968515690943
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_7,7,513,0.15091731762196117,0.15091731762196117
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_8,8,512,0.13273106041436042,0.13273106041436042
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_9,9,511,0.14732135345991454,0.14732135345991454
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_10,10,510,0.13569422113342453,0.13569422113342453
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_11,11,509,0.10397129239707714,0.10397129239707714
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_12,12,508,0.09742120446658951,0.09742120446658951
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_13,13,507,0.07965043688650743,0.07965043688650743
iq,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_14,14,506,0.06807672024236434,0.06807672024236434
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k,1,520,0.09632697466296965,0.09632697466296965
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_2_mean,2,520,0.10930210289784208,0.10930210289784208
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_3_mean,3,520,0.11787252189517766,0.11787252189517766
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_4_mean,4,520,0.12914028537394948,0.12914028537394948
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_5_mean,5,520,0.14011027524708478,0.14011027524708478
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_6_mean,6,520,0.15269994180774019,0.15269994180774019
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_7_mean,7,520,0.16347625595957146,0.16347625595957146
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_8_mean,8,520,0.17329452861265082,0.17329452861265082
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_9_mean,9,520,0.1793553276447022,0.1793553276447022
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_10_mean,10,520,0.18726269786238814,0.18726269786238814
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_11_mean,11,520,0.19338975753938376,0.19338975753938376
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_12_mean,12,520,0.19564543201603513,0.19564543201603513
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_13_mean,13,520,0.19751727062764216,0.19751727062764216
iq,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_14_mean,14,520,0.19786936025777102,0.19786936025777102
iq,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k,0,520,0.07951548718910911,0.07951548718910911
iq,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_1,1,519,0.08174037530505593,0.08174037530505593
iq,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_2,2,518,0.09025319049524122,0.09025319049524122
iq,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_3,3,517,0.10640599312034091,0.10640599312034091
iq,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_4,4,516,0.10305983197892529,0.10305983197892529
iq,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_5,5,515,0.13698631628581848,0.13698631628581848
iq,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_6,6,514,0.14267404842077142,0.14267404842077142
iq,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_7,7,513,0.14485802942836928,0.14485802942836928
iq,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_8,8,512,0.12625701073405216,0.12625701073405216
iq,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_9,9,511,0.14879471500736893,0.14879471500736893
iq,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_10,10,510,0.14994051512335702,0.14994051512335702
iq,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_11,11,509,0.10852143826561833,0.10852143826561833
iq,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_12,12,508,0.11188119592960409,0.11188119592960409
iq,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_13,13,507,0.0984906164937043,0.0984906164937043
iq,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_14,14,506,0.08813425206576225,0.08813425206576225
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k,1,520,0.07951548718910911,0.07951548718910911
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_2_mean,2,520,0.0906042482373433,0.0906042482373433
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_3_mean,3,520,0.10045260726067474,0.10045260726067474
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_4_mean,4,520,0.11222489095474614,0.11222489095474614
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_5_mean,5,520,0.1199283379649963,0.1199283379649963
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_6_mean,6,520,0.13357917034234434,0.13357917034234434
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_7_mean,7,520,0.14596005697848025,0.14596005697848025
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_8_mean,8,520,0.15678366931842388,0.15678366931842388
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_9_mean,9,520,0.16351106729387008,0.16351106729387008
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_10_mean,10,520,0.17304862026521903,0.17304862026521903
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_11_mean,11,520,0.18218060725861995,0.18218060725861995
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_12_mean,12,520,0.18569543478481804,0.18569543478481804
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_13_mean,13,520,0.18981709047764522,0.18981709047764522
iq,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_14_mean,14,520,0.19255826370252366,0.19255826370252366
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k,0,520,0.2291831871266377,0.2291831871266377
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_1,1,519,0.22098060092872282,0.22098060092872282
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_2,2,518,0.2149786550684159,0.2149786550684159
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_3,3,517,0.20016558053204248,0.20016558053204248
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_4,4,516,0.1616092091927598,0.1616092091927598
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_5,5,515,0.1777664366914965,0.1777664366914965
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_6,6,514,0.14943333906524578,0.14943333906524578
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_7,7,513,0.13692201707815282,0.13692201707815282
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_8,8,512,0.12128568743940155,0.12128568743940155
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_9,9,511,0.10274171568259025,0.10274171568259025
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_10,10,510,0.0754107247641441,0.0754107247641441
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_11,11,509,0.05716609598575823,0.05716609598575823
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_12,12,508,0.048186780005082135,0.048186780005082135
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_13,13,507,0.0100466784192707,0.0100466784192707
iq,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_14,14,506,-0.031808833285156844,0.031808833285156844
iq,rolling,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k,1,520,0.2291831871266377,0.2291831871266377
iq,rolling,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_2_mean,2,520,0.245799836349318,0.245799836349318
iq,rolling,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_3_mean,3,520,0.25273718394333383,0.25273718394333383
iq,rolling,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_4_mean,4,520,0.2547988668827405,0.2547988668827405
iq,rolling,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_5_mean,5,520,0.24827850740940496,0.24827850740940496
iq,rolling,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_6_mean,6,520,0.2483775551692996,0.2483775551692996
iq,rolling,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_7_mean,7,520,0.24446787555715774,0.24446787555715774
iq,rolling,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_8_mean,8,520,0.24048674791902294,0.24048674791902294
