city,feature_group,feature,best_lag_months,best_n_pairs,best_pearson_corr,best_abs_pearson_corr,lag0_pearson_corr,lag0_abs_pearson_corr,abs_corr_gain_over_lag0
iq,reanalysis,reanalysis_sat_precip_amt_mm,10,110,0.2768616129573283,0.2768616129573283,0.18743593479444773,0.18743593479444773,0.08942567816288058
iq,station,station_precip_mm,12,108,0.2689791678164247,0.2689791678164247,0.14773538741540315,0.14773538741540315,0.12124378040102157
iq,ndvi,ndvi_nw,4,116,0.23948786947285378,0.23948786947285378,-0.05331676369299647,0.05331676369299647,0.1861711057798573
iq,ndvi,ndvi_ne,13,107,0.22145725999651833,0.22145725999651833,-0.011730999048031245,0.011730999048031245,0.2097262609484871
sj,station,station_min_temp_c,2,215,0.39763335681266176,0.39763335681266176,0.19918146873572445,0.19918146873572445,0.1984518880769373
sj,station,station_avg_temp_c,2,215,0.3911676379233669,0.3911676379233669,0.20368847547107463,0.20368847547107463,0.18747916245229226
sj,station,station_max_temp_c,2,215,0.36204510265958545,0.36204510265958545,0.21770320470535925,0.21770320470535925,0.1443418979542262
sj,reanalysis,reanalysis_max_air_temp_k,8,209,-0.359608366441468,0.359608366441468,0.20180410537918697,0.20180410537918697,0.15780426106228101
sj,reanalysis,reanalysis_air_temp_k,8,209,-0.3526842416299797,0.3526842416299797,0.18636625405827306,0.18636625405827306,0.16631798757170663
sj,reanalysis,reanalysis_specific_humidity_g_per_kg,8,209,-0.3523595736957381,0.3523595736957381,0.21875524771009777,0.21875524771009777,0.13360432598564034
sj,reanalysis,reanalysis_avg_temp_k,8,209,-0.35015452884795634,0.35015452884795634,0.18056939404790234,0.18056939404790234,0.169585134800054
sj,reanalysis,reanalysis_dew_point_temp_k,8,209,-0.34682354097456414,0.34682354097456414,0.21547518909139818,0.21547518909139818,0.13134835188316596
sj,precipitation,precipitation_amt_mm,8,209,-0.34103821528886624,0.34103821528886624,0.13546349515856396,0.13546349515856396,0.20557472013030229
sj,reanalysis,reanalysis_sat_precip_amt_mm,8,209,-0.34103821528886624,0.34103821528886624,0.13546349515856396,0.13546349515856396,0.20557472013030229
sj,reanalysis,reanalysis_min_air_temp_k,8,209,-0.32809492534284174,0.32809492534284174,0.20318698241904687,0.20318698241904687,0.12490794292379487
sj,reanalysis,reanalysis_relative_humidity_percent,14,203,0.3194344934364167,0.3194344934364167,0.19301747037723072,0.19301747037723072,0.126417023059186
sj,station,station_diur_temp_rng_c,7,210,0.3020134602185186,0.3020134602185186,0.04016741833537225,0.04016741833537225,0.26184604188314636
sj,station,station_precip_mm,7,210,-0.24579969771664492,0.24579969771664492,0.11219768869669838,0.11219768869669838,0.13360200901994654
sj,reanalysis,reanalysis_precip_amt_kg_per_m2,12,205,0.21193334986190648,0.21193334986190648,0.19300977599729197,0.19300977599729197,0.018923573864614518
sj,ndvi,ndvi_ne,8,209,0.2054174783964518,0.2054174783964518,0.11861754223001748,0.11861754223001748,0.08679993616643432
sj,reanalysis,reanalysis_tdtr_k,11,206,-0.1977774924952343,0.1977774924952343,-0.10960512177116792,0.10960512177116792,0.08817237072406638
sj,ndvi,ndvi_nw,14,203,0.1899077205770617,0.1899077205770617,0.055863611639717814,0.055863611639717814,0.1340441089373439
sj,ndvi,ndvi_se,4,213,-0.17439469501760607,0.17439469501760607,-0.0943808639457646,0.0943808639457646,0.08001383107184147
sj,ndvi,ndvi_sw,4,213,-0.08242844602907747,0.08242844602907747,0.05673915283109136,0.05673915283109136,0.0256892931979861
