city,feature_group,feature,window_weeks,rolling_stat,rolling_feature_name,n_pairs,pearson_corr,abs_pearson_corr
sj,station,station_max_temp_c,11,mean,station_max_temp_c_rolling_11_mean,936,0.34850924150797513,0.34850924150797513
sj,station,station_avg_temp_c,10,mean,station_avg_temp_c_rolling_10_mean,936,0.3435662437033582,0.3435662437033582
sj,station,station_min_temp_c,9,mean,station_min_temp_c_rolling_9_mean,936,0.3368873436226605,0.3368873436226605
sj,station,station_max_temp_c,10,mean,station_max_temp_c_rolling_10_mean,936,0.3368144211049639,0.3368144211049639
sj,reanalysis,reanalysis_min_air_temp_k,14,mean,reanalysis_min_air_temp_k_rolling_14_mean,936,0.3328728778814477,0.3328728778814477
sj,reanalysis,reanalysis_dew_point_temp_k,14,mean,reanalysis_dew_point_temp_k_rolling_14_mean,936,0.3317020633173035,0.3317020633173035
sj,station,station_avg_temp_c,9,mean,station_avg_temp_c_rolling_9_mean,936,0.3307086719783515,0.3307086719783515
sj,reanalysis,reanalysis_min_air_temp_k,13,mean,reanalysis_min_air_temp_k_rolling_13_mean,936,0.32918950983923206,0.32918950983923206
sj,reanalysis,reanalysis_specific_humidity_g_per_kg,14,mean,reanalysis_specific_humidity_g_per_kg_rolling_14_mean,936,0.3291767146411031,0.3291767146411031
sj,reanalysis,reanalysis_dew_point_temp_k,13,mean,reanalysis_dew_point_temp_k_rolling_13_mean,936,0.3282831042107138,0.3282831042107138
sj,reanalysis,reanalysis_specific_humidity_g_per_kg,13,mean,reanalysis_specific_humidity_g_per_kg_rolling_13_mean,936,0.3263028106554814,0.3263028106554814
sj,station,station_max_temp_c,9,mean,station_max_temp_c_rolling_9_mean,936,0.3246528186349832,0.3246528186349832
sj,reanalysis,reanalysis_min_air_temp_k,12,mean,reanalysis_min_air_temp_k_rolling_12_mean,936,0.3243370104591888,0.3243370104591888
